"gene_symbol","lfc_treat_N2","padj_treat_N2","lfc_treat_RB","padj_treat_RB","lfc_geno_unt","padj_geno_unt","lfc_geno_trt","padj_geno_trt","lfc_gxe","padj_gxe","effect_class"
"Y18H1A.11",0.61936088253522,0.0418481179492001,0.179854526609158,0.511049409301496,0.628050130773786,0.0504522782937923,0.170744307090435,0.520237059878776,-0.199075156724451,0.499342032347837,"NS"
"Y18H1A.10",-0.0988119122330099,0.516930272769868,0.152206331025198,0.625545583308348,-0.00829654011575064,0.835598885637116,0.029753557281837,0.682109476675803,0.0166512538698752,0.391223523069167,"NS"
"Y18H1A.3",-0.395810205065895,0.316456694644268,0.113088216530605,0.730777004145219,-1.11295545081838,0.00285342826664844,-0.227795871851909,0.384588195364581,0.336903601067428,0.32180208819511,"Genotype"
"Y18H1A.15",-0.118809358704213,0.812411999990164,0.181347831614432,0.666400804838437,-0.025080331048171,0.888172507796415,0.0340127958277745,0.856532640195457,0.0474548494715503,0.603243360265796,"NS"
"Y18H1A.18",-0.113943838765533,0.85340923127316,-0.107663665841327,0.808952253385077,0.0367706122054003,0.888786690575259,0.0350195974895793,0.890184766028933,-0.00639726917208695,0.97204335071327,"NS"
"Y18H1A.13",0.730963978663543,0.00999996758446752,0.895644450956689,0.000564426375055967,-0.475712843525321,0.137815692107157,-0.185552948815311,0.471333678415211,0.118768706808798,0.70183890505168,"NS"
"Y18H1A.12",-0.0723213088919985,0.913017304088352,-0.0814654039789117,0.842461482021339,-0.131858101223018,0.669449002666917,-0.141458299749491,0.575960120882428,-0.0154928877285113,0.953526551525281,"NS"
"Y18H1A.8",-0.302768830729127,0.53161513740105,-0.197652705532736,0.635098995007599,-0.0137191762041052,0.953284545112392,-0.00775339200313878,0.972457467047886,0.00747470220848168,0.947742775269127,"NS"
"T06A4.2",-0.154692454074521,0.253571730115664,-0.133347062916128,0.714802807768215,0.00755023298263995,0.915508991533774,0.0473874547452293,0.542986511971397,0.0163718862713919,0.665688632473158,"NS"
"T06A4.3",-0.205421132005167,0.520374669638358,0.0816765510977403,0.76939063703634,0.0677334189448266,0.908635987435459,0.249176302831042,0.30206800021837,0.21962552342585,0.468181034040762,"NS"
"ZC123.1",-0.60748329275161,0.00144790184876198,-0.130187368047832,0.547902480819075,-0.240059728402228,0.398524797068536,0.0792047447676453,0.778823892047693,0.366372138105962,0.197890537449473,"NS"
"ZC123.4",-0.654150632342261,0.0135662335593309,-0.346892581674868,0.145569791376937,-0.307576028379796,0.346411416146915,-0.102421237719711,0.720670797949953,0.125896481782201,0.681940892224298,"NS"
"Y95B8A.8",-0.509607544497541,0.087473375600311,-0.299902131894532,0.233235704661304,-0.139843661765906,0.733054497432369,-0.0571002969945575,0.86664404927763,0.0605837643018585,0.848383080974925,"NS"
"Y95B8A.10",-0.650518640529149,0.0265207393518452,-0.330406818697932,0.197898004939607,-0.341419426288451,0.314021658894543,-0.120290402180659,0.671240104552453,0.105992968203387,0.703436916870772,"NS"
"Y95B8A.6",-0.929515913099919,0.0079492594288403,-0.34763232421255,0.240137780901577,-0.15627530964039,0.677831406242222,0.025136567458457,0.94887091875932,0.182064060075072,0.514089747881031,"NS"
"Y95B8A.5",-0.216389570686635,0.485723631098484,-0.658611238771824,0.00233861041833832,0.12369135927995,0.771909247863333,-0.156369389953291,0.545119220739093,-0.361029392511532,0.248249052211866,"NS"
"Y95B8A.4",-0.125928066195747,0.761819955333284,-0.144008854423186,0.723112828517096,-0.0169362388981819,0.8995049538744,-0.0274004289342791,0.83565318035777,-0.00344336483069415,0.972107833394259,"NS"
"Y95B8A.1",0.153695865131432,0.460132856307035,0.182824632433548,0.265639814781224,0.601115037012226,0.000162315877199686,0.61907153776685,4.59976308565099e-05,0.0469016882680014,0.869145171915908,"NS"
"Y34D9B.1",-0.680222222235003,0.0154588832439892,-0.162803772931644,0.551960376125296,-0.677261333862216,0.0321527083256813,-0.135919472225473,0.620593140921644,0.285541580963713,0.369119806220674,"NS"
"F54A5.2",-0.507814071922209,0.138671218334437,-0.227616117608609,0.417577673173538,0.0436642646720553,0.948903058621543,0.112667777293922,0.691800462437162,0.0832242373468973,0.770502876351788,"NS"
"F54A5.3",-0.477724789645572,0.118319757209195,-0.331185941787777,0.191644504217526,-0.120809494096463,0.797666522252709,-0.0674389805006593,0.833799175791191,0.0326217933758523,0.936521779183744,"NS"
"F54A5.1",-1.73178053125907,1.29437763605584e-10,-1.27881415632115,1.25234530149991e-06,-0.390636244289407,0.238032220847141,-0.0769672455910398,0.801504439901625,0.203960455962088,0.515356382248135,"Treatment"
"C54G6.3",-0.414745882356814,0.445020620043003,-0.213961625458092,0.559019833162021,0.007674745464527,0.992174528169323,0.0272813224020928,0.937292527686194,0.0228103587395272,0.937843181309527,"NS"
"C54G6.2",-0.300569374726979,0.62164742589668,0.480280011254986,0.215816373635602,-0.160152587045026,0.507694845554004,0.0891895914401508,0.720934333585703,0.351522977427152,0.216500136923672,"NS"
"Y34D9A.1",0.1264404254219,0.760758729977751,0.128050016050454,0.649390544580137,0.0448375426229613,0.948556463346168,0.0603955682321001,0.85629507807919,0.0302073685002737,0.935321937650632,"NS"
"Y34D9A.4",-0.0574354420130759,0.849893871939028,0.0751301464722573,0.747847737079617,-0.0966343055180369,0.818233364839645,0.0125420379582389,0.974143701576539,0.108282977808568,0.684398852922721,"NS"
"Y34D9A.3",-0.325909140873275,0.299512069956967,-0.213206593023769,0.400769076702983,-0.0296306835089047,0.974148429157003,0.000612143985163902,0.998595484557993,0.0239680767865702,0.943184485556853,"NS"
"Y34D9A.7",1.39370715717945,4.25629520052738e-10,1.47835626242957,1.32917780414627e-11,-0.119921568156021,0.822639299207468,-0.0273593371944014,0.943236547473221,0.0763006242461137,0.83440620202566,"Treatment"
"Y34D9A.6",3.01930181288508,3.11967922586296e-20,3.50668348143331,2.39476969336873e-27,-0.208946470233298,0.558147676265894,0.013630474161223,0.973734288254651,0.224510915174436,0.454694232059512,"Treatment"
"Y34D9A.8",2.24210421688234,1.62006721860907e-09,2.87645824888453,3.32409710597055e-15,-0.208871313208084,0.53910859964842,0.0302099504705847,0.936310822893572,0.257881402906649,0.394258937648475,"Treatment"
"Y34D9A.10",0.343819316113508,0.0872585205406931,0.489980569945847,0.00369238257046083,-0.0962615577691584,0.81803949621287,0.0354841176526025,0.921109378672209,0.142311117252443,0.591391098319691,"NS"
"Y34D9A.2",0.273251825206639,0.56527421866685,0.102939100634013,0.76938627166403,0.0833530613298263,0.863138821169728,0.0286784105314598,0.939270371997438,-0.0457619264583359,0.883678631752352,"NS"
"R06A10.2",-0.238705154653619,0.673455345273621,-0.0413422750468416,0.925930156384682,-0.959167836093505,0.0637551826704069,-0.326410448761847,0.208396830993988,0.0539549327979338,0.842169253137586,"NS"
"R06A10.5",-0.136535600861927,0.828469968346018,0.361184428960669,0.381191363509691,-0.0290268305992315,0.917358659477838,0.092670596250794,0.63274001127399,0.105549320346112,0.420691704957021,"NS"
"R06A10.4",-0.0278432003104903,0.952627383765085,-0.255571406030307,0.294172884253815,0.399172275760726,0.194437520746504,0.0967588471957422,0.73774241101264,-0.174731570009684,0.53256343191629,"NS"
"ZK993.2",-0.603800446519009,0.0377816779286444,-1.20095779735268,0.0426956338985994,-0.00501037896040569,0.950006147453846,-0.017713158431372,0.928759310361459,-0.00975670458276903,0.997155796779255,"Treatment"
"ZK993.5",-0.35809241421441,0.29650869018833,-0.385426436110611,0.335704023079605,0.00529455429965916,0.982020461340722,0.010008995712526,0.953297393787896,0.00187479692056469,0.978229358807017,"NS"
"Y48G8AL.10",-0.00838500572607085,0.988557914840048,-0.012754892850254,0.967631237011214,-0.183053233962117,0.605413915977951,-0.14974367545669,0.564557836684995,-0.00785892318307414,0.98438663051371,"NS"
