"Gene","log2FC","padj","contrast","pathway_id","pathway_name"
"F57B9.1",1.51888906495396,7.89839893694592e-16,"argk-2: Treated vs Untreated","cel01100","Metabolic pathways"
"F57B9.1",1.51888906495396,7.89839893694592e-16,"argk-2: Treated vs Untreated","cel01240","Biosynthesis of cofactors"
"C29E4.7",-1.63621393201084,4.20326665044165e-08,"argk-2: Treated vs Untreated","cel00480","Glutathione metabolism"
"C29E4.7",-1.63621393201084,4.20326665044165e-08,"argk-2: Treated vs Untreated","cel00980","Metabolism of xenobiotics by cytochrome P450"
"C29E4.7",-1.63621393201084,4.20326665044165e-08,"argk-2: Treated vs Untreated","cel00982","Drug metabolism - cytochrome P450"
"C29E4.7",-1.63621393201084,4.20326665044165e-08,"argk-2: Treated vs Untreated","cel00983","Drug metabolism - other enzymes"
"C29E4.7",-1.63621393201084,4.20326665044165e-08,"argk-2: Treated vs Untreated","cel01100","Metabolic pathways"
"C29E4.7",-1.63621393201084,4.20326665044165e-08,"argk-2: Treated vs Untreated","cel04212","Longevity regulating pathway - worm"
"K06H7.4",1.72978688636885,5.10518557701808e-06,"argk-2: Treated vs Untreated","cel04144","Endocytosis"
"C30C11.4",2.22936945846429,1.52532840147565e-10,"argk-2: Treated vs Untreated","cel04141","Protein processing in endoplasmic reticulum"
"C30C11.2",1.02306938416574,1.49560273294704e-17,"argk-2: Treated vs Untreated","cel03050","Proteasome"
"C02D5.4",3.47070235787404,1.74374378262161e-39,"argk-2: Treated vs Untreated","cel00480","Glutathione metabolism"
"C02D5.4",3.47070235787404,1.74374378262161e-39,"argk-2: Treated vs Untreated","cel00980","Metabolism of xenobiotics by cytochrome P450"
"C02D5.4",3.47070235787404,1.74374378262161e-39,"argk-2: Treated vs Untreated","cel00982","Drug metabolism - cytochrome P450"
"C02D5.4",3.47070235787404,1.74374378262161e-39,"argk-2: Treated vs Untreated","cel00983","Drug metabolism - other enzymes"
"C02D5.4",3.47070235787404,1.74374378262161e-39,"argk-2: Treated vs Untreated","cel01100","Metabolic pathways"
"C02D5.4",3.47070235787404,1.74374378262161e-39,"argk-2: Treated vs Untreated","cel04212","Longevity regulating pathway - worm"
"R107.7",3.07656346240019,5.48862763015073e-139,"argk-2: Treated vs Untreated","cel00480","Glutathione metabolism"
"R107.7",3.07656346240019,5.48862763015073e-139,"argk-2: Treated vs Untreated","cel00980","Metabolism of xenobiotics by cytochrome P450"
"R107.7",3.07656346240019,5.48862763015073e-139,"argk-2: Treated vs Untreated","cel00982","Drug metabolism - cytochrome P450"
"R107.7",3.07656346240019,5.48862763015073e-139,"argk-2: Treated vs Untreated","cel00983","Drug metabolism - other enzymes"
"R107.7",3.07656346240019,5.48862763015073e-139,"argk-2: Treated vs Untreated","cel01100","Metabolic pathways"
"K04H4.6",-2.22773150126774,2.73115191433929e-06,"argk-2: Treated vs Untreated","cel04142","Lysosome biogenesis"
"F55H2.1",1.80174744605655,4.8513645873398e-27,"argk-2: Treated vs Untreated","cel04146","Peroxisome"
"F55H2.1",1.80174744605655,4.8513645873398e-27,"argk-2: Treated vs Untreated","cel04213","Longevity regulating pathway - multiple species"
