"ENTREZID","SYMBOL","GO","EVIDENCE","ONTOLOGY"
"171647","wwp-1","GO:0008340","IMP","BP"
"171647","wwp-1","GO:0016567","IDA","BP"
"171647","wwp-1","GO:0016567","IEA","BP"
"171647","wwp-1","GO:0016740","IEA","MF"
"171647","wwp-1","GO:0042176","IMP","BP"
"171647","wwp-1","GO:0043161","IBA","BP"
"171647","wwp-1","GO:0050829","IMP","BP"
"171647","wwp-1","GO:0050830","IMP","BP"
"171647","wwp-1","GO:0061630","IBA","MF"
"171647","wwp-1","GO:0061630","IEA","MF"
"171647","wwp-1","GO:0061631","IDA","MF"
"171647","wwp-1","GO:0140096","IEA","MF"
"171648","lpr-1","GO:0002119","IMP","BP"
"171648","lpr-1","GO:0005576","ISS","CC"
"171648","lpr-1","GO:0006869","ISS","BP"
"171648","lpr-1","GO:0035295","IMP","BP"
"171649","grl-16",NA,NA,NA
"171650","hum-7","GO:0000146","IBA","MF"
"171650","hum-7","GO:0000146","IEA","MF"
"171650","hum-7","GO:0003774","IEA","MF"
"171650","hum-7","GO:0003779","IEA","MF"
"171650","hum-7","GO:0005096","IEA","MF"
"171650","hum-7","GO:0005516","IPI","MF"
"171650","hum-7","GO:0005524","IEA","MF"
"171650","hum-7","GO:0005884","IBA","CC"
"171650","hum-7","GO:0007165","IEA","BP"
"171650","hum-7","GO:0016459","IEA","CC"
"171650","hum-7","GO:0033275","IDA","BP"
"171650","hum-7","GO:0035556","IEA","BP"
"171650","hum-7","GO:0046872","IEA","MF"
"171650","hum-7","GO:0051015","IBA","MF"
"171650","hum-7","GO:0060002","IDA","MF"
"171652","eme-1","GO:0000712","IBA","BP"
"171652","eme-1","GO:0000727","IBA","BP"
"171652","eme-1","GO:0004519","IEA","MF"
"171652","eme-1","GO:0005634","IBA","CC"
"171652","eme-1","GO:0008821","IBA","MF"
"171652","eme-1","GO:0019899","IPI","MF"
"171652","eme-1","GO:0031573","IBA","BP"
"171652","eme-1","GO:0048257","IBA","MF"
"171652","eme-1","GO:0048476","IBA","CC"
"171653","sago-2","GO:0003676","IEA","MF"
"171653","sago-2","GO:0003723","IEA","MF"
"171653","sago-2","GO:0003727","IBA","MF"
"171653","sago-2","GO:0004521","IBA","MF"
"171653","sago-2","GO:0005634","IBA","CC"
"171653","sago-2","GO:0005737","IBA","CC"
"171653","sago-2","GO:0016442","IBA","CC"
"171653","sago-2","GO:0035194","IBA","BP"
"171653","sago-2","GO:0035198","IBA","MF"
"171653","sago-2","GO:0036464","IBA","CC"
"171654","vps-20","GO:0000815","IBA","CC"
"171654","vps-20","GO:0005771","IBA","CC"
"171654","vps-20","GO:0006900","IBA","BP"
"171654","vps-20","GO:0007034","IEA","BP"
"171654","vps-20","GO:0032511","IBA","BP"
"171655","Y65B4A.2","GO:0004197","IBA","MF"
"171655","Y65B4A.2","GO:0005615","IBA","CC"
"171655","Y65B4A.2","GO:0005764","IBA","CC"
"171655","Y65B4A.2","GO:0006508","IEA","BP"
"171655","Y65B4A.2","GO:0008234","IEA","MF"
"171655","Y65B4A.2","GO:0016020","IEA","CC"
"171655","Y65B4A.2","GO:0051603","IBA","BP"
"171656","cus-2","GO:0003676","IEA","MF"
"171656","cus-2","GO:0003723","IBA","MF"
"171656","cus-2","GO:0003723","IEA","MF"
"171656","cus-2","GO:0005684","IBA","CC"
"171656","cus-2","GO:0005686","IBA","CC"
"171656","cus-2","GO:0006397","IEA","BP"
"171656","cus-2","GO:0008380","IEA","BP"
"171657","Y65B4A.8","GO:0003824","IEA","MF"
"171657","Y65B4A.8","GO:0004140","IBA","MF"
"171657","Y65B4A.8","GO:0004140","IEA","MF"
"171657","Y65B4A.8","GO:0005524","IEA","MF"
"171657","Y65B4A.8","GO:0009058","IEA","BP"
"171657","Y65B4A.8","GO:0015937","IBA","BP"
"171657","Y65B4A.8","GO:0015937","IEA","BP"
"171658","Y65B4A.9","GO:0004672","IEA","MF"
"171658","Y65B4A.9","GO:0004674","IBA","MF"
"171658","Y65B4A.9","GO:0005524","IEA","MF"
"171658","Y65B4A.9","GO:0005634","IBA","CC"
"171658","Y65B4A.9","GO:0005737","IBA","CC"
"171658","Y65B4A.9","GO:0006468","IEA","BP"
"171658","Y65B4A.9","GO:0007165","IBA","BP"
"171658","Y65B4A.9","GO:0016301","IEA","MF"
"171659","hasp-2","GO:0000278","IBA","BP"
"171659","hasp-2","GO:0004674","IEA","MF"
"171659","hasp-2","GO:0005524","IEA","MF"
"171659","hasp-2","GO:0005634","IBA","CC"
"171659","hasp-2","GO:0005737","IBA","CC"
"171659","hasp-2","GO:0006338","IEA","BP"
"171659","hasp-2","GO:0035173","IEA","MF"
"171659","hasp-2","GO:0035556","IBA","BP"
"171659","hasp-2","GO:0072354","IBA","MF"
"171660","ptp-5.3","GO:0004725","IEA","MF"
"171660","ptp-5.3","GO:0006470","IEA","BP"
"171661","Y18H1A.4","GO:0005737","IBA","CC"
"171661","Y18H1A.4","GO:0016791","IBA","MF"
"171662","Y18H1A.2",NA,NA,NA
"171663","hgap-1","GO:0005096","IBA","MF"
"171663","hgap-1","GO:0005096","IEA","MF"
"171663","hgap-1","GO:0005634","IEA","CC"
"171663","hgap-1","GO:0005737","IBA","CC"
"171663","hgap-1","GO:0008340","IGI","BP"
"171663","hgap-1","GO:0008340","IMP","BP"
"171663","hgap-1","GO:0043547","IEA","BP"
"171663","hgap-1","GO:0051056","IEA","BP"
"171664","rec-1","GO:0003674","ND","MF"
"171664","rec-1","GO:0005575","ND","CC"
"171664","rec-1","GO:0010780","IGI","BP"
"171665","pif-1","GO:0000002","IEA","BP"
"171665","pif-1","GO:0000723","IEA","BP"
"171665","pif-1","GO:0003677","IEA","MF"
"171665","pif-1","GO:0003678","IEA","MF"
"171665","pif-1","GO:0004386","IEA","MF"
"171665","pif-1","GO:0005524","IEA","MF"
"171665","pif-1","GO:0005634","IEA","CC"
