node_id	node_class	display_label	effect_category	lfc_gxe	padj_gxe	lfc_treat_N2	padj_treat_N2	lfc_geno_unt	padj_geno_unt	lfc_geno_trt	padj_geno_trt	orphan_gxe	degree_GxE_targets
y49c4a.8	effector	ugt-29	GxE	-2.58228021944255	1.0942085653333e-65	3.60339348863036	4.4639448574066093e-172	2.64909368085429	5.334824376296e-92	0.0412679127835839	0.89212869921243	FALSE	0
c07g3.2	effector	irg-1	GxE	-1.86227144543251	2.02134272932617e-12	5.69877650076957	2.59393108404895e-153	1.6851514199062	3.62426880309784e-13	-0.0892459937850765	0.754589912728226	FALSE	0
t24a6.7	effector	t24a6.7	GxE	-1.93944761422113	0.00105100513111666	4.47881091125837	4.75082113731676e-24	1.96031004847838	7.74968985436343e-5	-0.0119226080686409	0.975501277782737	TRUE	0
k09d9.1	effector	k09d9.1	GxE	-1.94148135951229	2.76865541464498e-5	5.41924389553062	1.7975505644034101e-53	1.61857827387467	4.92882955713051e-5	-0.10017448057824101	0.727006496364098	TRUE	0
c49g7.7	effector	c49g7.7	GxE	-3.21388212424349	5.72972117174478e-14	6.7995856778423	1.9985989700959898e-78	3.28111421837713	1.3159352782342401e-17	0.0153221902709605	0.969102036165166	TRUE	0
c49g7.12	effector	c49g7.12	GxE	-2.48784721235261	4.2636620759905394e-11	4.75362374838606	7.629724298031879e-54	3.2791476628392	7.275322318283359e-25	0.347070763559873	0.168869989334637	TRUE	0
c49g7.10	effector	c49g7.10	GxE	-1.82299753420808	1.6385805504457099e-18	5.42609186571383	1.6676083014356799e-218	1.5551608778399	1.3159352782342401e-17	-0.16169255102311	0.488355272587421	TRUE	0
c49g7.5	effector	irg-2	GxE	-2.16231935138586	4.3796771855767996e-12	5.99944521817733	7.85590069635581e-125	1.05261234242124	3.6911593166422e-4	-0.823069070162426	0.00145825175850048	FALSE	0
y58a7a.3	effector	y58a7a.3	GxE	-3.0202104428791	3.52394133461856e-36	4.67627076155993	2.05214645835131e-117	2.64586252161285	5.03683714522125e-37	-0.205483086575326	0.393519167052212	TRUE	0
y58a7a.4	effector	y58a7a.4	GxE	-3.51129592477342	3.7541104928389103e-38	5.5397801829901	1.67521290293084e-126	3.33094811861352	6.55933355912459e-45	-0.0842058207963063	0.775783855137829	TRUE	0
y58a7a.5	effector	y58a7a.5	GxE	-3.27027621077868	3.52684954709485e-32	7.42414956254889	9.35780968582387e-221	3.03251737725399	2.23677908504465e-36	-0.110396805214119	0.693013670358459	TRUE	0
f14f9.2	effector	f14f9.2	GxE	-1.14953590696452	0.0031078843354057	4.43405679792665	2.09218975731697e-57	1.69012816889846	3.5274337388807e-8	0.205069988669676	0.425445169290238	TRUE	0
f08f3.7	effector	cyp-14a5	GxE	-1.68421209596719	8.54054477402316e-29	3.24702579988975	5.473460612184089e-145	1.9454665000244	3.49222924626318e-51	0.181076960200504	0.346998051856198	FALSE	0
f44c4.3	effector	cpr-4	GxE	1.36890909342623	1.15914121232179e-7	-2.05301889687718	6.63635298453175e-24	-1.85374149588785	1.7738755227189e-18	-0.259360053999096	0.253965465776245	FALSE	0
e02c12.6	effector	e02c12.6	GxE	-0.0915589155495638	0.0274274208542286	-0.0447336734361724	0.940071519916824	-0.0128664540457404	0.990835656897949	-1.0289900087822	0.0083056894428398	TRUE	0
e02c12.8	effector	e02c12.8	GxE	-1.3282903087909	4.70521727200469e-5	2.24410099332348	9.73331155891946e-20	1.2799722473873	3.12236061904865e-6	-0.0327406830613823	0.932920836350989	TRUE	0
f17c11.11	effector	f17c11.11	GxE	-1.90333045100886	2.77455808228887e-24	4.61003526161843	1.4932372786847e-193	1.21235772044732	3.62426880309784e-13	-0.564441343331864	0.00100085740010903	TRUE	0
c45b11.2	effector	c45b11.2	GxE	-3.00393911846467	7.5036004916803e-4	4.42021905734244	6.582559952940069e-11	3.48268698345949	2.95173562903501e-6	0.0490438550241619	0.863370008417055	TRUE	0
c52e4.1	effector	cpr-1	GxE	0.675393756201578	0.00691191186581417	-3.73989391517982	2.3890374009501796e-106	-1.48580648271674	1.093417565519e-16	-0.620729892300834	9.820325914869e-4	FALSE	0
zc455.5	effector	ugt-4	GxE	-1.24331646142395	1.8874124214664e-4	1.96323044593511	6.9620875622662e-15	1.87527360668288	1.1919352349141199e-12	0.297615562624742	0.215378634087227	FALSE	0
zc443.5	effector	ugt-18	GxE	-0.923260629516477	8.93671792593962e-7	3.19307434528172	5.5081935373539494e-114	1.44856857802162	3.1369712277042e-22	0.39947521836	0.0111618377372805	FALSE	0
zc443.6	effector	ugt-16	GxE	-1.31813608579635	0.0225858351102966	3.66210511171815	1.2663194913018699e-18	1.22722076670537	0.0105826457598873	-0.0358318438692371	0.923320557964122	FALSE	0
t16g1.6	effector	t16g1.6	GxE	-1.76101310993899	0.0145741231765877	1.01910442798312	0.0452195668168524	1.12704957618723	0.0489836499300753	-0.11889222554786	0.64443739478319	TRUE	0
t16g1.5	effector	t16g1.5	GxE	-3.60155262046415	5.0797822188279794e-23	4.14255807994006	8.674153055533689e-42	4.01304929930013	7.011362916442361e-38	0.13947015765764	0.609768749459384	TRUE	0
f15b9.6	effector	f15b9.6	GxE	-1.7446935568632	2.867822941065e-8	1.27126535505279	7.4304865378076e-7	2.46046960177688	1.43271085433808e-22	0.418941716158309	0.0743459530069752	TRUE	0
c06b3.7	effector	c06b3.7	GxE	-2.15677839238281	2.8131921876811397e-12	5.73143718843485	5.4939045839582596e-117	1.15597036626229	5.36181996760573e-5	-0.71348000216933	0.00468049080479289	TRUE	0
r10d12.17	effector	srw-145	GxE	-2.84126482666909	0.00464257330541997	2.34958148294272	0.00115782263726737	2.61108834184395	0.00210708135401783	-0.035801293522868	0.904244681736207	FALSE	0
t08g5.10	effector	mtl-2	GxE	1.83809223176981	6.30275687830869e-7	-0.401206816751163	0.258485766658246	-0.29971522978756	0.397918361718204	1.1606286050795	1.1224352036034e-4	FALSE	0
