,Temperature,B3,B4,B5,B6,B7,B8,B9,B10,C3,C4,C5,C6,C7,C8,C9,C10,D3,D4,D5,D6,D7,D8,D9,D10,E3,E4,E5,E6,E7,E8,E9,E10,G3,G4,G5,G6,G7,G8,G9,G10,H3,H4,H5,H6,H7,H8,H9,H10
,70,2581.46859045855,5237.99880239863,5420.509363602,5511.29417595995,6521.66433494274,6529.81969048587,6835.99729270681,3079.57143504731,5950.74142484243,9528.19344720977,9735.13355788597,9800.05442903736,10239.629543087,10252.0515157479,10269.2124012589,6213.50126094378,2298.76557657339,7034.35545131038,7010.37790952436,6924.8061591072,8937.45512962295,9212.86653645555,9290.03181466537,2344.70706235369,6131.30421392348,8650.36914275723,9028.20138352674,9013.11136616085,9404.93350823566,9580.77033139784,9648.39418956136,6316.34376628728,5329.80706127117,6967.58219311528,7491.13133523261,7459.95229603114,8028.52754975068,8083.72863428807,8249.7830773504,4651.44615902496,7044.08908387184,8529.28924192112,8568.45992091124,8820.07605356809,9011.1479332341,9538.16206242546,9215.11005511049,7636.70430635367
,70.5,2570.41391962055,5098.04136317046,5271.12705967279,5372.96916128647,6379.06868996303,6382.71914977529,6675.99649304912,3042.38706987541,5502.38473279579,9431.11899740828,9637.76901135634,9698.48420773528,10144.9824358343,10154.8818952582,10173.7599851355,5777.71301997239,2297.76853790339,6831.48185170081,6820.74422438731,6733.12567805809,8839.91913053446,9108.16189493565,9183.65422623019,2340.9951718652,5748.92678611254,8548.17725565971,8917.54686151409,8900.38776632166,9304.84932663813,9475.81929480921,9541.59275362206,5889.28487181499,5158.25613132576,6884.84423680568,7400.57339958086,7366.56819191837,7940.90946327789,7986.33729530328,8148.58978515286,4380.53118061739,6839.01963869049,8459.2557203467,8499.74534839683,8748.22422364246,8938.70984642212,9458.65684569099,9139.65506126677,7430.07611341591
,71,2560.64945215107,4933.92286033509,5095.48212354715,5210.50919000183,6211.53255982915,6211.59053462277,6487.63181756051,2998.07032658422,5017.43514087578,9330.67073985627,9537.52026264151,9594.87119483319,10047.4957241817,10055.5829301495,10075.8734992732,5291.74488092508,2297.12920125444,6624.83443920236,6625.47924122098,6537.00128525328,8733.83648149126,8995.60642684937,9069.19969576274,2337.85404498301,5341.69392613792,8438.36642774288,8799.72151329353,8781.01231975392,9201.18531298324,9367.54408629269,9431.43052975659,5432.95495512236,4918.32278186136,6797.66106023022,7305.83059729338,7269.38201423627,7848.28870765104,7883.30992634038,8042.75162929824,4136.11072457289,6613.78367620919,8382.76505575082,8423.47675061088,8668.89669689239,8859.594717503,9372.17178672716,9058.6815252542,7213.52441049049
,71.5,2551.75555553401,4743.55907783588,4888.12221019272,5020.00985714749,6020.06814578814,6016.89759188994,6273.87886875157,2943.91545054936,4525.82218316361,9227.5980399337,9435.3417342251,9490.2453912695,9947.00383152797,9954.40481714771,9975.69965147994,4781.18336277572,2296.2722927386,6424.51081589949,6434.40776821284,6346.09736648882,8614.59819669357,8869.99007168138,8941.13012527501,2335.00281092523,4928.34557128111,8319.24631837755,8672.40508451454,8653.58820603425,9094.10303836115,9256.3733411788,9317.99892601398,4970.67959069232,4602.84677831786,6703.88911279834,7204.6693639013,7165.50888108835,7747.3555019246,7771.21681521004,7926.71990123327,3932.89218823423,6361.84527916724,8299.68593257552,8340.36773704793,8583.06224936347,8775.62259496437,9280.06315853636,8972.71856346205,6984.60159777153
,72,2543.01236968004,4529.04726291203,4649.59408435547,4801.68965272356,5809.68451235736,5804.00057480136,6040.56230801984,2878.24742241412,4058.69745688471,9121.78954133963,9330.11665899836,9383.54107825653,9843.79716478402,9850.06608262694,9872.65231874567,4274.19493960503,2295.48910625047,6235.33457059966,6252.13404763833,6165.01980892712,8469.4850454447,8718.47434709541,8785.5343561512,2332.17487016824,4526.06490748358,8190.88039846393,8534.78023716537,8516.53665804096,8983.18410145861,9141.87077292836,9201.35704256577,4523.59573733322,4221.04753942169,6594.92021137284,7089.44170114303,7046.08300582201,7626.21758946465,7636.29822809716,7786.80060853051,3772.11544287277,6081.35365722299,8211.3620904256,8251.36355996663,8491.88207482979,8687.37158656341,9183.6826209522,8882.59347388064,6738.03604861983
,72.5,2533.78309122681,4295.49153105705,4383.58012246581,4560.14919488585,5584.98729976462,5581.88439792711,5797.90237321884,2803.19548456641,3642.72886316324,9013.93374845992,9222.13073773827,9274.85204594537,9737.79831542576,9743.68870472441,9767.07100805131,3800.67548609816,2294.90425652527,6051.98166921099,6073.60648561367,5990.25807832707,8275.30711918297,8515.81078230002,8574.05967814112,2329.09835146568,4149.2824372271,8053.40083009092,8387.31418265796,8370.41425187676,8868.34721878375,9023.63796598118,9081.47561933724,4108.9806192976,3803.5559617531,6453.87577561112,6942.5030167045,6893.55766752947,7462.14240031618,7452.83767244794,7595.94604090449,3642.12209424633,5774.94424690728,8118.80064039772,8157.95565553595,8396.24767904892,8596.06232934481,9083.84220593731,8789.40703922832,6470.46268444698
,73,2523.81060196583,4053.19821470183,4101.54354211146,4303.42183700544,5354.35064348233,5365.99126201523,5563.48456164571,2724.44380167817,3295.79389922531,8904.44711928154,9112.43512944513,9165.23678237134,9629.47161351826,9635.64729863764,9659.96891827418,3385.22486031585,2294.46203387189,5857.7157403242,5883.91011293789,5805.75865664135,7988.80027999255,8216.90664417087,8261.51780659546,2326.78280257759,3806.07136934709,7908.58204835372,8231.43214928812,8216.31703832715,8748.95893015857,8900.4851926297,8957.70806112751,3735.24766625661,3399.20901016361,6253.59871307212,6734.76233936627,6677.67137601622,7218.8800486693,7182.16721364817,7314.78056871033,3521.95032489402,5450.53145789191,8022.46031728445,8061.00170291477,8297.14987785329,8502.08818449283,8981.27023732855,8693.28125658456,6181.11008745917
,73.5,2513.10598298484,3816.46149177418,3822.05825902163,4042.82394965779,5131.3577638638,5167.56400054873,5350.60266604938,2648.87351785063,3022.4617425754,8793.267757702,9000.49889492032,9054.0548743743,9518.80428074568,9525.96131504327,9550.58982551775,3042.50306733374,2293.69553275729,5621.24072142253,5653.6175264027,5581.66512830398,7574.32180702432,7784.5391797697,7811.31330223745,2324.32015414622,3499.31657560959,7757.11159111116,8068.0331137307,8055.04515867083,8622.36001793977,8769.95990023574,8826.09270335638,3405.27410657166,3051.19300576828,5965.28116415118,6432.94373152224,6366.27717136247,6864.55453130941,6793.05141321555,6911.37373205393,3390.73485331266,5114.89280029821,7923.11201806305,7961.93888279525,8195.3917419882,8406.7653974061,8876.67145180555,8595.16163370737,5872.663517515
,74,2502.09508784432,3596.74285913367,3564.90052189878,3794.70582308244,4921.63689291422,4987.55073768961,5162.30238678701,2584.18340949086,2816.560289862,8680.05454432287,8886.06869131205,8940.40995112466,9406.16113826802,9414.3213906148,9439.15414896611,2777.47327745049,2292.81034730737,5310.00070845533,5349.44093848964,5286.51518934803,7009.30346663838,7196.12135156015,7201.85240585122,2321.80561612123,3229.7910200072,7596.11767088143,7895.25807958772,7883.66424097026,8480.71678767394,8623.86667901303,8678.34316506013,3120.19065833631,2785.24396179702,5574.0954061174,6016.01971824974,5942.72411004262,6378.99729740225,6266.72638254504,6369.03372470649,3238.33260496422,4771.33229661646,7822.26235261196,7861.34315811005,8091.96188207378,8309.8185652868,8770.25628728648,8495.46894627291,5551.014357607
,74.5,2491.18800337727,3400.2458451915,3341.59004833036,3570.16613034173,4725.51053578963,4822.57626008112,5000.16956437793,2535.63538030603,2664.7230218234,8564.0031850736,8769.18095075564,8824.45735189969,9290.67022122183,9300.54612141252,9325.2613206521,2587.15834548979,2291.64816462089,4916.38517651827,4961.74265958669,4913.40584509573,6295.42926807415,6453.30726579912,6437.53924043555,2319.52935088448,2997.76909497979,7413.4254956471,7701.62428095434,7691.05753936357,8306.56695313158,8443.74792022921,8495.60814138642,2879.60348165147,2607.86764679084,5092.71169024471,5492.10697449828,5419.04057872615,5767.75006769537,5614.12140698711,5700.59171955745,3066.50585493434,4416.12922561183,7719.90874454371,7760.2355934938,7987.323608275,8211.63630353789,8662.50957105269,8394.22437559963,5220.93339412441
,75,2481.1470915371,3229.79972219563,3156.61019834173,3375.58096688679,4547.02223689421,4668.3949689575,4861.63730473868,2503.57813509008,2552.49365945858,8444.20680256065,8648.51138260046,8705.00049784782,9171.000909811,9182.18861571716,9206.98394222206,2462.14711944972,2290.33624037863,4457.21176250533,4506.30765499539,4477.22093682701,5473.94460752164,5600.0140524843,5569.14859365784,2317.69749510451,2801.35871944138,7182.2111039032,7459.70513021513,7449.46874054012,8063.72909903938,8193.47233097213,8240.42654816033,2683.01940381841,2507.07921197905,4556.54723845071,4897.656703099,4832.92371026476,5074.91160212123,4886.36139281925,4960.95450988551,2889.7616878885,4050.19460918475,7616.763705895,7658.21616055184,7881.79031519225,8111.76130204808,8553.21900181453,8291.00838822748,4882.52713290976
,75.5,2472.64480204476,3083.51786491715,3008.51943202417,3213.88821751436,4389.12690595745,4517.4908267765,4735.85795940969,2485.24670953682,2466.56305664808,8318.10358316034,8520.76992423039,8578.69256802292,9044.35115194069,9056.74016181028,9080.67133537982,2387.73883726854,2289.08849295451,3965.83664341174,4014.71719363964,4009.13686822523,4638.98261692944,4733.77667171614,4696.21373977591,2315.79105228291,2639.7762710271,6866.53980424093,7131.27585620263,7121.36816167275,7715.54095734689,7835.95807459269,7875.75391043414,2532.25296192159,2458.25483219097,4023.6396113648,4293.82824433156,4247.89832724594,4377.32274707486,4165.54118811877,4233.41574344797,2731.64873933174,3684.63978049484,7513.05864050152,7555.19464307759,7774.93099505619,8009.03336588026,8440.70914636543,8184.24282062004,4531.86613306421
,76,2466.01072383272,2957.05016266309,2890.78009189007,3085.54641855101,4243.1671852381,4364.1073306716,4612.20111106238,2477.30259244971,2399.91880205771,8181.70537748591,8383.36753857119,8442.14590552489,8907.79433669658,8920.43237174795,8944.06097716053,2348.0454797468,2287.84972360727,3500.11859229474,3541.91831648831,3564.42546020596,3875.2960231895,3942.44998503306,3905.82868207996,2314.2700405368,2514.54725093707,6439.23866947075,6686.37495797102,6676.67073206829,7232.76125803892,7341.29307252736,7372.95953639716,2426.88996099574,2437.87723503966,3557.92560237069,3753.12036863327,3733.46765618266,3747.66285580938,3525.05297504597,3591.25543410647,2611.29225183346,3337.55069169805,7405.41149838394,7447.76312283158,7664.33095170939,7898.10840205226,8319.76160907967,8068.04573912633,4167.25468835934
,76.5,2460.60284440082,2847.57929436491,2793.39836247577,2981.77638441807,4102.94245094067,4210.90700773783,4480.10077300891,2474.55022269109,2350.33344414312,8032.44694953787,8232.98292368448,8292.18119011846,8758.70099256976,8771.33666274439,8794.54495590973,2329.58291508337,2286.83024174328,3121.57197080581,3151.31562582048,3202.53755108834,3248.97733313024,3293.65377137894,3264.69824584146,2313.21595520082,2425.89132063948,5889.76606062298,6111.613278756,6102.73192001969,6602.65875893023,6697.06952378605,6720.41113415614,2359.69920512786,2430.69881977418,3198.37164516231,3326.51694618649,3333.82572701805,3243.11438600033,3021.22447312227,3089.53897123992,2531.23850235228,3029.76460110048,7285.97527003067,7329.42627638458,7542.90391587254,7767.71320583604,8177.80471483345,7929.75672089553,3799.20567571262
,77,2456.38595232371,2753.78968887238,2710.667846556,2895.48062310556,3958.74401610028,4057.00907930772,4324.30236940728,2473.60180419619,2317.15763525691,7870.85222779532,8069.18582203567,8127.48121228963,8596.7905916042,8609.13059807749,8631.97268080736,2322.51431245503,2286.03423111039,2849.93972942572,2867.82195619457,2940.44448630207,2800.91228730349,2829.66694336959,2812.70264680215,2312.26604015735,2368.4813262086,5236.04495514205,5424.4255462852,5416.11465449085,5845.30824328755,5923.77550287531,5940.69188280476,2322.04292247743,2428.47228647673,2944.17368100768,3022.60761622312,3051.31349771829,2891.95343319489,2677.87115028109,2750.87914475534,2486.80787549829,2785.21142967287,7139.2255907942,7184.22645940464,7394.78008132509,7593.45816190978,7987.76923497299,7742.5310001266,3446.52234050161
